0:0:0:0:0:0:0:1 - - [24/Jun/2024:11:35:33 +0530] "GET /CakeShop/images/caramel%20cakes/Butterscotch%20Caramel%20Cake:.jpg HTTP/1.1" 200 70225
0:0:0:0:0:0:0:1 - - [24/Jun/2024:11:35:33 +0530] "GET /CakeShop/images/caramel%20cakes/No-Bake-Salted-Caramel-Coconut-Macaroons7.webp HTTP/1.1" 200 92258
0:0:0:0:0:0:0:1 - - [24/Jun/2024:11:35:33 +0530] "GET /CakeShop/images/caramel%20cakes/Banana%20Caramel%20Cake:.jpg HTTP/1.1" 200 257884
0:0:0:0:0:0:0:1 - - [24/Jun/2024:11:35:37 +0530] "GET /CakeShop/url HTTP/1.1" 404 767
0:0:0:0:0:0:0:1 - - [24/Jun/2024:11:37:30 +0530] "GET /CakeShop/classiccake.html HTTP/1.1" 200 3403
0:0:0:0:0:0:0:1 - - [24/Jun/2024:11:37:30 +0530] "GET /CakeShop/images/classic%20cakes/200706-r-xl-yellow-layer-cake-with-vanilla-frosting-66dacc8c584c4228967296f4d202c182.jpg HTTP/1.1" 200 77607
0:0:0:0:0:0:0:1 - - [24/Jun/2024:11:37:30 +0530] "GET /CakeShop/images/classic%20cakes/chocolate_classic.jpg HTTP/1.1" 200 119652
0:0:0:0:0:0:0:1 - - [24/Jun/2024:11:37:30 +0530] "GET /CakeShop/images/classic%20cakes/redvelvet_classic.webp HTTP/1.1" 200 454284
0:0:0:0:0:0:0:1 - - [24/Jun/2024:11:37:30 +0530] "GET /CakeShop/images/classic%20cakes/coconut_classic.jpg HTTP/1.1" 200 1073081
0:0:0:0:0:0:0:1 - - [24/Jun/2024:11:37:30 +0530] "GET /CakeShop/images/classic%20cakes/carrot_classic.jpg HTTP/1.1" 200 295070
0:0:0:0:0:0:0:1 - - [24/Jun/2024:11:37:30 +0530] "GET /CakeShop/images/classic%20cakes/marble_classic.jpg HTTP/1.1" 200 238979
0:0:0:0:0:0:0:1 - - [24/Jun/2024:11:37:30 +0530] "GET /CakeShop/images/classic%20cakes/hummingbird_classic.jpg HTTP/1.1" 200 288215
0:0:0:0:0:0:0:1 - - [24/Jun/2024:11:37:30 +0530] "GET /CakeShop/images/classic%20cakes/lemon%20cake%20classic.jpg HTTP/1.1" 200 194108
0:0:0:0:0:0:0:1 - - [24/Jun/2024:11:37:32 +0530] "GET /CakeShop/url HTTP/1.1" 404 767
0:0:0:0:0:0:0:1 - - [24/Jun/2024:11:37:52 +0530] "GET /CakeShop/url HTTP/1.1" 404 767
